Runtime dead semantic audit summary
===================================
FILES_SCANNED: 401
GVL_FIELDS_SCANNED: 813
DUT_FIELDS_SCANNED: 883
DUT_TYPES_SCANNED: 122
UNUSED_GVL_FIELDS: 17
UNUSED_DUT_FIELDS: 182
ORPHAN_DUT_TYPES: 31
SEMANTIC_ZOMBIE_PATTERNS: 44
TOTAL_FINDINGS: 274
TRUNCATED: False

[UNUSED_DUT_FIELD] last_modified @ ST_Operator_Zone_Rights.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] lighting_circuit_id @ ST_Outdoor_Zone_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] auto_enabled @ ST_Outdoor_Zone_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] party_mode_enabled @ ST_Outdoor_Zone_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] value @ ST_Trend_History_Record.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] active @ ST_Calibration_Family_Summary.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] status @ ST_Calibration_Family_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_count @ ST_Calibration_Family_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_active_count @ ST_Calibration_Family_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] failed_count @ ST_Calibration_Family_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_deviation_percent @ ST_Calibration_Family_Summary.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] summary_text @ ST_Calibration_Family_Summary.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Avg_Result_Value @ ST_Zone_Adapt_State.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Armed @ ST_Security_Zone_State.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Alarm @ ST_Security_Zone_State.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Bypassed @ ST_Security_Zone_State.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Last_Trigger_Time @ ST_Security_Zone_State.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Trigger_Count @ ST_Security_Zone_State.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] active @ ST_Calibration_Sensor_Summary.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] status @ ST_Calibration_Sensor_Summary.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] calibrated_value @ ST_Calibration_Sensor_Summary.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] deviation_percent @ ST_Calibration_Sensor_Summary.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_active @ ST_Calibration_Sensor_Summary.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] verification_failed @ ST_Calibration_Sensor_Summary.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] record_index @ ST_Calibration_Sensor_Summary.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] label @ ST_Calibration_Sensor_Summary.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] summary_text @ ST_Calibration_Sensor_Summary.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_types @ ST_Flood_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] sensor_to_valve_map @ ST_Flood_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Scenario_ID @ ST_Ventilation_Scenario_Mode.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Scenario_Priority @ ST_Ventilation_Scenario_Mode.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Fire_Alarm @ ST_Ventilation_Scenario_Mode.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Methane_Alarm @ ST_Ventilation_Scenario_Mode.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Smoke_Detected @ ST_Ventilation_Scenario_Mode.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Exhaust_Modes @ ST_Ventilation_Scenario_Mode.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Supply_Modes @ ST_Ventilation_Scenario_Mode.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] parameter_type @ ST_Trend_Header.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] records_count @ ST_Trend_Header.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] average_value @ ST_Trend_Header.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] min_value @ ST_Trend_Header.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_value @ ST_Trend_Header.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Port_Name @ ST_Modbus_RTU_Config.dut:3 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Baudrate @ ST_Modbus_RTU_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Parity @ ST_Modbus_RTU_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Stop_Bits @ ST_Modbus_RTU_Config.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Data_Bits @ ST_Modbus_RTU_Config.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Poll_Interval_MS @ ST_Modbus_RTU_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Request_Timeout_MS @ ST_Modbus_RTU_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Retry_Count @ ST_Modbus_RTU_Config.dut:11 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Events @ ST_Heating_Runtime_Blackbox_Timeline.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Event_Count @ ST_Heating_Runtime_Blackbox_Timeline.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Reconstruction_Visible @ ST_Heating_Runtime_Blackbox_Timeline.dut:20 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Forensic_Timeline_Visible @ ST_Heating_Runtime_Blackbox_Timeline.dut:21 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Root_Cause_Reconstructed @ ST_Heating_Runtime_Blackbox_Timeline.dut:22 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Events @ ST_Heating_Runtime_Event_Buffer.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Read_Index @ ST_Heating_Runtime_Event_Buffer.dut:12 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Event_Count @ ST_Heating_Runtime_Event_Buffer.dut:13 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Overflow @ ST_Heating_Runtime_Event_Buffer.dut:14 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Ordering_Integrity_Valid @ ST_Heating_Runtime_Event_Buffer.dut:19 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Isolation_Integrity_Valid @ ST_Heating_Runtime_Event_Buffer.dut:20 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Lifecycle_Integrity_Valid @ ST_Heating_Runtime_Event_Buffer.dut:21 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Diagnostics_Visibility_Valid @ ST_Heating_Runtime_Event_Buffer.dut:26 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Explainability_Visibility_Valid @ ST_Heating_Runtime_Event_Buffer.dut:27 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] circuit_id @ ST_FloorHeating_Circuit_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_id @ ST_FloorHeating_Circuit_Config.dut:8 - DUT field appears unused as a member access.
[ORPHAN_DUT_TYPE] E_Trend_Parameter_Type @ E_Trend_Parameter_Type.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_State_Snapshot @ ST_State_Snapshot.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_Astro_Time @ ST_Astro_Time.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] E_Outdoor_Mode @ E_Outdoor_Mode.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_Gas_Valve_Configuration @ ST_Gas_Valve_Configuration.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_TwoFactor_Data @ ST_TwoFactor_Data.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_Ventilation_Unit @ ST_Ventilation_Unit.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] E_Zone_Access_Level @ E_Zone_Access_Level.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_FloorHeating_Manifold_Config @ ST_FloorHeating_Manifold_Config.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_Zone_Sensors @ ST_Zone_Sensors.dut:2 - DUT type appears declared but never instantiated/referenced.
[ORPHAN_DUT_TYPE] ST_FloorHeating_Global_Config @ ST_FloorHeating_Global_Config.dut:2 - DUT type appears declared but never instantiated/referenced.
