Runtime dead semantic audit summary
===================================
FILES_SCANNED: 2865
GVL_FIELDS_SCANNED: 6018
DUT_FIELDS_SCANNED: 6144
DUT_TYPES_SCANNED: 962
UNUSED_GVL_FIELDS: 8
UNUSED_DUT_FIELDS: 1753
ORPHAN_DUT_TYPES: 2
SEMANTIC_ZOMBIE_PATTERNS: 889
TOTAL_FINDINGS: 2652
TRUNCATED: False

[UNUSED_DUT_FIELD] valve_id @ ST_Gas_Valve_Configuration.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] valve_type @ ST_Gas_Valve_Configuration.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] close_time_seconds @ ST_Gas_Valve_Configuration.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] open_time_seconds @ ST_Gas_Valve_Configuration.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] emergency_open_allowed @ ST_Gas_Valve_Configuration.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Is_Faulty @ ST_Component_Maintenance.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Is_In_Maintenance @ ST_Component_Maintenance.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Fallback_Value @ ST_Component_Maintenance.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Use_Last_Good_Value @ ST_Component_Maintenance.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Source_Node_ID @ ST_Heating_Runtime_Causality_Edge.dut:6 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Target_Node_ID @ ST_Heating_Runtime_Causality_Edge.dut:7 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] PIN_Code @ ST_Security_Global_Config.dut:4 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Phones @ ST_Security_Global_Config.dut:5 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] alarm_duration_seconds @ ST_Security_Global_Config.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] two_person_timeout_seconds @ ST_Security_Global_Config.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] max_access_attempts @ ST_Security_Global_Config.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Analytics_Visible @ ST_Heating_Runtime_Adaptive_Intelligence.dut:8 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Analytics_Degraded @ ST_Heating_Runtime_Adaptive_Intelligence.dut:9 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Analytics_Attention @ ST_Heating_Runtime_Adaptive_Intelligence.dut:10 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Supervision_Confidence_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:15 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Confidence_Degradation_Visible @ ST_Heating_Runtime_Adaptive_Intelligence.dut:16 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Runtime_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:21 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Adaptive_Runtime_Stability_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:22 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Runtime_Anomaly_Observation_Weight @ ST_Heating_Runtime_Adaptive_Intelligence.dut:27 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Cascade_Anomaly_Observation_Weight @ ST_Heating_Runtime_Adaptive_Intelligence.dut:28 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] OpenTherm_Anomaly_Observation_Weight @ ST_Heating_Runtime_Adaptive_Intelligence.dut:29 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Diagnostics_Anomaly_Observation_Weight @ ST_Heating_Runtime_Adaptive_Intelligence.dut:30 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Predictive_Correlation_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:35 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Predictive_Correlation_Visible @ ST_Heating_Runtime_Adaptive_Intelligence.dut:36 - DUT field appears unused as a member access.
[UNUSED_DUT_FIELD] Sequencing_Confidence_Observation @ ST_Heating_Runtime_Adaptive_Intelligence.dut:41 - DUT field appears unused as a member access.
